"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",Adjusted savings: particulate emission damage (% of GNI) [NY.ADJ.DPEM.GN.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],Lifetime risk of maternal death (1 in: rate varies by country) [SH.MMR.RISK],"Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) [SH.DYN.NCOM.FE.ZS]","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) [SH.STA.AIRP.FE.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) [SH.STA.AIRP.MA.P5]","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) [SH.STA.POIS.P5.FE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS]
0.567,-0.172,-0.273,-0.067,0.203,-0.501,-0.843,-0.223,-0.505,0.125,1.116,0.261,0.159,0.362,-0.768,-0.247,0.107,-0.075,0.008,0.003
0.408,-0.559,-0.248,-0.431,0.322,-0.358,-0.125,-0.341,-0.491,-0.164,0.146,-0.498,-0.561,-0.421,-0.659,-0.515,0.468,0.359,0.421,-0.128
0.711,-0.837,-1.073,-0.765,0.954,3.398,1.73,-0.61,1.673,-0.702,-1.236,-1.09,-0.991,-1.178,-0.876,-0.604,0.806,0.879,0.832,-1.268
0.599,-0.513,-0.052,-0.411,0.253,-0.401,0.163,-0.296,-0.497,-0.123,-0.015,-0.487,-0.464,-0.525,-0.659,-0.541,0.717,0.513,0.593,-0.582
0.711,-0.643,-0.786,-0.642,0.542,-0.07,0.878,-0.506,-0.418,-0.408,0.29,-0.744,-0.728,-0.747,-0.768,-0.614,0.694,0.67,0.505,-0.245
0.711,-0.582,-0.503,-0.868,0.94,-0.234,0.34,-0.582,-0.15,-0.637,-0.913,-0.635,-0.741,-0.486,-0.768,-0.604,0.737,0.8,0.842,-0.461
0.711,-0.321,-1.123,-0.883,1.013,-0.493,0.148,-0.591,-0.016,-0.628,-0.033,-0.307,-0.437,-0.081,0.209,-0.604,0.419,0.765,0.744,-0.566
0.711,-0.868,-1.103,-0.873,0.949,1.917,1.448,-0.609,1.284,-0.697,-1.757,-1.133,-1.032,-1.217,-0.876,-0.614,0.806,0.889,0.845,-1.258
-1.948,0.009,1.273,1.541,-1.511,-0.489,-0.903,0.747,-0.529,0.662,0.883,1.151,1.267,0.976,0.643,0.552,-1.385,-0.243,-0.366,1.438
0.667,-0.76,-0.701,-0.77,0.661,0.004,0.611,-0.569,-0.255,-0.591,-1.254,-0.953,-0.894,-1.008,-0.876,-0.572,0.787,0.81,0.777,-0.424
0.711,-0.4,-1.045,-0.991,1.21,-0.368,0.837,-0.605,0.686,-0.683,-0.177,-0.15,-0.257,-0.042,-0.659,-0.614,0.384,0.849,0.849,-0.614
-2.119,2.647,2.079,1.949,-1.873,-0.541,-1.535,2.087,-0.534,1.488,0.506,0.963,1.156,0.702,1.729,2.521,-2.706,-1.784,-2.242,1.396
0.711,0.072,-0.696,-0.947,1.119,-0.493,0.556,-0.571,-0.24,-0.601,-0.249,-0.524,-0.617,-0.369,-0.551,-0.609,0.8,0.671,0.832,-0.276
-0.315,0.478,0.567,1.555,-1.474,-0.475,-0.731,0.637,-0.528,1.282,1.44,0.596,0.575,0.663,2.706,0.846,-1.107,-0.508,-1.132,0.278
-1.881,2.61,1.743,1.683,-1.658,-0.529,-1.257,1.016,-0.531,0.8,0.865,1.539,1.544,1.524,1.837,1.986,-2.38,-1.828,-1.566,2.61
-1.44,-0.611,0.443,1.177,-1.062,-0.327,-0.343,-0.188,-0.508,-0.027,0.272,0.11,0.076,0.18,0.209,0.0,0.153,0.086,0.383,0.193
0.711,-0.769,-0.122,-0.569,0.138,-0.061,1.006,-0.559,-0.3,-0.633,-0.159,-0.536,-0.548,-0.577,-0.876,-0.614,0.298,0.892,0.849,0.088
0.711,-0.648,-0.522,-0.652,0.812,-0.505,1.055,-0.563,-0.285,-0.601,-0.051,-0.4,-0.437,-0.342,-0.659,-0.562,0.234,0.64,0.705,-0.677
0.711,-0.868,-0.564,-0.701,0.729,0.006,1.479,-0.562,-0.3,-0.578,-0.285,-1.089,-0.991,-1.191,-0.768,-0.614,0.8,0.501,0.505,-1.089
0.506,-0.733,-0.621,-0.588,0.271,-0.301,0.333,-0.471,-0.446,-0.334,-0.518,-0.766,-0.728,-0.799,-0.768,-0.578,0.619,0.509,0.529,-0.535
-0.09,0.384,-0.158,-0.691,0.138,-0.398,-1.029,-0.458,-0.455,-0.385,-0.087,-0.291,-0.395,-0.186,-0.551,-0.588,0.715,0.892,0.505,-0.419
-0.553,0.776,0.738,0.631,-0.508,-0.533,-1.313,-0.112,-0.512,-0.063,1.116,1.095,0.921,1.185,3.248,0.41,0.26,-0.512,-0.112,1.164
0.711,-0.801,-1.193,-0.849,1.023,2.535,1.269,-0.61,1.479,-0.697,-1.344,-1.052,-0.977,-1.113,-0.768,-0.588,0.806,0.866,0.82,-1.284
0.461,-0.763,-0.196,-0.318,0.262,0.031,0.184,-0.488,-0.434,-0.467,-1.003,-0.919,-0.852,-0.982,-0.768,-0.52,0.558,0.295,0.503,-0.424
-1.84,2.14,2.553,1.998,-1.919,-0.539,-1.603,2.907,-0.535,1.713,0.613,2.161,2.14,2.098,2.271,3.099,-2.304,-2.029,-1.458,2.14
-0.0,-0.462,0.092,0.016,-0.201,-0.427,-0.331,-0.185,-0.508,0.019,0.075,-0.402,-0.367,-0.447,0.535,-0.325,0.324,-0.493,-0.37,0.536
-1.203,0.034,1.171,1.324,-1.355,-0.538,-1.206,1.123,-0.531,1.217,0.29,0.697,0.685,0.676,1.403,1.676,-2.887,-2.233,-2.403,0.7
0.711,-0.875,-0.888,-0.859,0.945,1.807,1.424,-0.6,0.283,-0.674,-1.398,-1.172,-1.06,-1.269,-0.876,-0.614,0.806,0.892,0.849,-1.252
0.667,-0.648,-0.722,-0.401,0.23,-0.255,0.431,-0.517,-0.404,-0.435,-0.518,-0.863,-0.811,-0.904,-0.768,-0.567,0.673,0.469,0.529,-0.614
-1.964,1.613,1.234,1.791,-1.717,-0.535,-1.496,2.179,-0.534,2.315,0.236,1.049,1.239,0.806,0.209,1.56,-0.891,-1.905,-2.065,1.681
-1.548,1.096,1.252,1.457,-1.433,-0.537,-1.352,1.001,-0.531,1.093,1.206,2.131,2.098,2.098,0.969,1.565,-1.41,-1.943,-2.04,1.808
0.711,-0.737,-0.849,-0.687,0.725,-0.046,1.247,-0.596,0.104,-0.66,-1.129,-0.926,-0.88,-0.956,-0.876,-0.609,0.783,0.892,0.849,-0.883
-1.341,-0.115,0.803,1.339,-1.282,-0.384,-0.642,0.064,-0.52,0.23,0.416,0.705,0.644,0.806,0.643,0.342,-0.289,-1.32,-1.092,0.547
-0.634,-0.184,0.391,-0.608,0.496,-0.462,-0.958,-0.487,-0.436,-0.509,0.991,0.854,0.505,1.263,0.101,-0.551,-0.253,-0.505,-0.51,-0.34
0.667,-0.422,-1.092,-0.672,0.679,0.191,-0.213,-0.566,-0.27,-0.55,-0.464,-0.596,-0.561,-0.63,-0.442,-0.567,0.518,0.651,0.535,-0.392
0.711,-0.721,-0.933,-0.829,0.89,3.651,1.319,-0.586,-0.106,-0.633,-0.823,-1.089,-1.005,-1.165,-0.117,-0.609,0.76,0.891,0.848,-1.49
0.71,0.25,1.032,0.056,0.015,-0.53,-1.022,-0.551,-0.33,-0.642,1.009,0.492,0.45,0.506,-0.008,-0.478,-0.449,0.777,0.639,-0.287
-0.204,-0.328,-0.02,0.862,-0.805,-0.349,0.184,-0.337,-0.491,-0.16,0.865,-0.089,-0.229,0.154,0.209,0.1,0.33,0.046,-0.119,0.003
